order_id,customer_id,product_name,quantity,unit_price,total_amount,status,created_at
ORD-001,CUST-101,Wireless Headphones,2,79.99,159.98,completed,2024-01-15 10:30:00
ORD-002,CUST-102,Mechanical Keyboard,1,149.99,149.99,completed,2024-01-15 11:00:00
ORD-003,CUST-103,USB-C Hub,3,34.99,104.97,pending,2024-01-16 09:15:00
ORD-004,CUST-101,Monitor Stand,1,59.99,59.99,shipped,2024-01-16 14:20:00
ORD-005,CUST-104,Webcam HD,2,89.99,179.98,completed,2024-01-17 08:45:00
ORD-006,CUST-105,Mouse Pad XL,1,24.99,24.99,cancelled,2024-01-17 16:30:00
ORD-007,CUST-102,Laptop Stand,1,44.99,44.99,completed,2024-01-18 10:00:00
ORD-008,CUST-106,Desk Lamp LED,2,39.99,79.98,pending,2024-01-18 13:45:00
ORD-009,CUST-103,HDMI Cable 2m,4,12.99,51.96,shipped,2024-01-19 09:30:00
ORD-010,CUST-107,Ergonomic Chair,1,299.99,299.99,completed,2024-01-19 15:00:00
